what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.genuitec.eclipse.easie.tcserver6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tcserver6",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tcserver,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tcserver",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat.myeclipse,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat.myeclipse",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat4,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat4",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat5,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat5",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat6",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat7,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat7",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.tomcat,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic10,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic10",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic6",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic7,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic7",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic8,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic8",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic9,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic9",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.weblogic,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.websphere.wasce,9.0.0.me201105301859,"com.genuitec.eclipse.easie.websphere.wasce",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.websphere5,9.0.0.me201105051700,"com.genuitec.eclipse.easie.websphere5",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.websphere6,9.0.0.me201105192136,"com.genuitec.eclipse.easie.websphere6",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.websphere61,9.0.0.me201105192136,"com.genuitec.eclipse.easie.websphere61",1410340521908
stopped,bundle,com.genuitec.eclipse.easie.websphere,9.0.0.me201105192136,"com.genuitec.eclipse.easie.websphere",1410340521908
stopped,bundle,com.genuitec.eclipse.wdt.jsp.debug,9.0.0.me201105051700,"com.genuitec.eclipse.wdt.jsp.debug",1410340521908
stopped,bundle,com.genuitec.eclipse.dashboard,9.0.0.me201105262038,"com.genuitec.eclipse.dashboard",1410340521908
stopped,bundle,com.genuitec.pulse.client.targetcfg.collab.workspace.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.workspace.ui",1410340521908
stopped,bundle,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui",1410340521908
stopped,bundle,com.genuitec.pulse2.client.targetcfg.jdt,3.2.0.v201102081600,"com.genuitec.pulse2.client.targetcfg.jdt",1410340521908
stopped,bundle,com.genuitec.pulse2.client.targetcfg.ui,4.0.0.v201106171500,"com.genuitec.pulse2.client.targetcfg.ui",1410340521908
stopped,bundle,com.genuitec.pulse.client.common.collab.ui,4.0.0.v201105251300,"com.genuitec.pulse.client.common.collab.ui",1410340521908
stopped,bundle,com.genuitec.pulse.client.contrib.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.contrib.ui",1410340521908
stopped,bundle,com.genuitec.pulse2.client.authentication,3.2.0.v201102081600,"com.genuitec.pulse2.client.authentication",1410340521909
stopped,bundle,com.genuitec.pulse2.client.services.ui,3.2.0.v201102081600,"com.genuitec.pulse2.client.services.ui",1410340521909
stopped,bundle,com.genuitec.pulse2.client.launcher.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.launcher.ui",1410340521909
stopped,bundle,com.genuitec.pulse2.common.ui,4.0.0.v201105241300,"com.genuitec.pulse2.common.ui",1410340521909
stopped,bundle,com.genuitec.pulse2.client.services,4.0.0.v201105241300,"com.genuitec.pulse2.client.services",1410340521909
stopped,bundle,com.genuitec.pulse2.client.common.exec,4.0.0.v201106201300,"com.genuitec.pulse2.client.common.exec",1410340521909
stopped,bundle,com.genuitec.pulse.client.common.shortcut,4.0.0.v201105241300,"com.genuitec.pulse.client.common.shortcut",1410340521909
stopped,bundle,com.genuitec.pulse2.client.common.provisioning,4.0.0.v201105241300,"com.genuitec.pulse2.client.common.provisioning",1410340521909
stopped,bundle,com.genuitec.pulse2.client.installer.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.installer.ui",1410340521909
stopped,bundle,com.genuitec.pulse2.client.installer.common,4.0.0.v201106171500,"com.genuitec.pulse2.client.installer.common",1410340521909
stopped,bundle,com.genuitec.pulse2.client.properties,3.2.0.v201103141500,"com.genuitec.pulse2.client.properties",1410340521909
stopped,bundle,com.genuitec.pulse2.client.updatesite,4.0.0.v201105241300,"com.genuitec.pulse2.client.updatesite",1410340521909
stopped,bundle,com.genuitec.pulse2.common.http.httpclient.ws,3.2.0.v201102081600,"com.genuitec.pulse2.common.http.httpclient.ws",1410340521909
stopped,bundle,com.genuitec.pulse2.common.http.httpclient,4.0.0.v201105241300,"com.genuitec.pulse2.common.http.httpclient",1410340521909
stopped,bundle,com.genuitec.pulse2.common.http.oakland.ws,3.2.0.v201102081600,"com.genuitec.pulse2.common.http.oakland.ws",1410340521909
stopped,bundle,com.genuitec.pulse2.common.http.oakland,4.0.0.v201105241300,"com.genuitec.pulse2.common.http.oakland",1410340521910
stopped,bundle,com.genuitec.pulse2.common.http,4.0.0.v201105241300,"com.genuitec.pulse2.common.http",1410340521910
stopped,bundle,org.eclipse.update.configurator.manipulator,3.2.0.v201103142100,"org.eclipse.update.configurator.manipulator",1410340521910
stopped,bundle,com.genuitec.pulse2.client.common,4.0.0.v201106171500,"com.genuitec.pulse2.client.common",1410340521910
stopped,bundle,com.genuitec.pulse2.common,4.0.0.v201106221500,"com.genuitec.pulse2.common",1410340521910
stopped,bundle,com.genuitec.pulse2.model,3.2.0.v201103141500,"com.genuitec.pulse2.model",1410340521910
stopped,bundle,com.genuitec.eclipse.springframework,9.0.0.me201106062019,"com.genuitec.eclipse.springframework",1410340521958
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.5.2.me201102240211,"org.springframework.ide.eclipse.webflow.ui",1410340521965
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.5.2.me201102240211,"org.springframework.ide.eclipse.webflow.ui.graph",1410340521966
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1410340521999
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.5.2.me201102240211,"org.springframework.ide.eclipse.webflow.core",1410340522021
stopped,bundle,org.springframework.ide.eclipse.batch,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.batch",1410340522022
stopped,bundle,org.eclipse.dali.core,0.5.0.me201101232045,"org.eclipse.dali.core",1410340522036
stopped,bundle,com.genuitec.eclipse.persistence.jpa,9.0.0.me201106221611,"com.genuitec.eclipse.persistence.jpa",1410340522046
stopped,bundle,com.genuitec.eclipse.hibernate,9.0.0.me201105051700,"com.genuitec.eclipse.hibernate",1410340522067
stopped,bundle,com.genuitec.eclipse.springhibernate,9.0.0.me201012172208,"com.genuitec.eclipse.springhibernate",1410340522078
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1410340522079
stopped,bundle,org.springframework.ide.eclipse.aop.ui,2.5.2.me201102240211,"org.springframework.ide.eclipse.aop.ui",1410340522094
stopped,bundle,org.springframework.ide.eclipse.security,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.security",1410340522109
stopped,bundle,org.springframework.ide.eclipse.aop.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.aop.core",1410340522118
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1410340522125
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1410340522130
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.5.2.me201102240211,"org.springframework.ide.eclipse.beans.ui.refactoring",1410340522180
stopped,bundle,org.springframework.ide.eclipse.integration,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.integration",1410340522186
stopped,bundle,org.springframework.ide.eclipse.osgi,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.osgi",1410340522205
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.5.2.me201102240211,"org.springframework.ide.eclipse.beans.ui.editor",1410340522210
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.5.2.me201102240211,"org.springframework.ide.eclipse.beans.ui.graph",1410340522210
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.5.2.me201102240211,"org.springframework.ide.eclipse.beans.ui.search",1410340522211
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.5.2.me201103110135,"org.springframework.ide.eclipse.beans.ui",1410340522241
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1410340522249
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.5.2.me201103162335,"org.springframework.ide.eclipse.beans.core",1410340522266
stopped,bundle,org.springframework.ide.eclipse.ui,2.5.2.me201103110135,"org.springframework.ide.eclipse.ui",1410340522267
stopped,bundle,org.springframework.ide.eclipse.core,2.5.2.me201103162335,"org.springframework.ide.eclipse.core",1410340522341
stopped,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1410340522341
stopped,bundle,org.eclipse.equinox.p2.artifact.processors,1.0.100.v201102081600,"org.eclipse.equinox.p2.artifact.processors",1410340522341
stopped,bundle,org.eclipse.equinox.p2.artifact.optimizers,1.0.0.v201102081600,"org.eclipse.equinox.p2.artifact.optimizers",1410340522343
stopped,bundle,ie.wombat.jbdiff,0.1.0.v201102081600,"ie.wombat.jbdiff",1410340522343
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1410340522377
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1410340522383
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.406.v201004211805,"org.eclipse.jst.ws.axis.consumption.core",1410340522403
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1410340522418
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1410340522435
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1410340522454
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1410340522480
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1410340522489
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1410340522499
stopped,bundle,com.genuitec.eclipse.ws,9.0.0.me201106162328,"com.genuitec.eclipse.ws",1410340522538
stopped,bundle,com.genuitec.eclipse.ws.xfire,9.0.0.me201106162328,"com.genuitec.eclipse.ws.xfire",1410340522585
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.508.v201006011553,"org.eclipse.jst.ws.creation.ui",1410340522603
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.300.v201008252303,"org.eclipse.jst.ws.consumption.ui",1410340522609
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.507.v201004211805,"org.eclipse.jst.ws.consumption",1410340522656
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1410340522664
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1410340522674
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1410340522683
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.507.v201004220342,"org.eclipse.wst.ws.explorer",1410340522734
stopped,bundle,com.genuitec.eclipse.reporting,9.0.0.me201105051700,"com.genuitec.eclipse.reporting",1410340522768
stopped,bundle,com.genuitec.myeclipse.perspective,9.0.0.me201106290046,"com.genuitec.myeclipse.perspective",1410340522768
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.303.v201009100445,"org.eclipse.wst.wsdl.ui",1410340522802
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1410340522822
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1410340522845
stopped,bundle,org.eclipse.wst.wsi,1.0.400.me201012090051,"org.eclipse.wst.wsi",1410340522852
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1410340522862
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1410340522863
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1410340522891
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1410340522939
stopped,bundle,org.eclipse.birt.report.debug.ui,2.6.1.me201012090051,"org.eclipse.birt.report.debug.ui",1410340522945
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,2.6.1.me201012090051,"org.eclipse.birt.report.designer.ui.preview.web",1410340522963
